Country,Region,Beta,Alpha (%),RÂ²,Correlation,Avg Weekly (%),Weekly Vol (%),Ann. Return (%),Ann. Vol (%),Sharpe,VaR 95% (%),CVaR 95% (%),Max DD (%),Skewness,Kurtosis
Canada,North America,0.5345265687995843,0.24250207921995418,0.5626097166548039,0.7500731408701447,0.4448160448043787,1.471306921275196,23.130434329827693,10.609745093205555,2.1801121635467324,-1.9903000422667372,-3.0872288439528606,-9.724117054003012,-0.9884914977329603,3.6776191002126417
Spain,Southern Europe,0.47567025057745604,0.38884733246796127,0.23056104030713298,0.480167721017493,0.5688846595572052,2.04526988822408,29.58200229697467,14.748650908308843,2.0057429307184473,-2.6827765335721647,-3.931356549980793,-7.9714175049312,-0.4834769184447704,0.7840038857418463
Korea,Asia Developed,0.5531205401625192,0.4992198389584179,0.19226872307291268,0.4384845756385425,0.7085714717084741,2.604372258856856,36.845716528840654,18.780395439408736,1.961924425271882,-3.6201338520900146,-4.39899139659374,-16.004307174854628,-0.12480051789091536,-0.3838836187513093
UK,Western Europe,0.3579046120382055,0.14836922740131514,0.26369350826128196,0.5135109621627195,0.28383321663765454,1.4389813693055655,14.759327265158037,10.376642222937198,1.4223606199443852,-1.4237852437408016,-2.7417485070627596,-9.597375407279774,-0.8881302845874443,5.421576464952521
Germany,Western Europe,0.5787804691421083,0.17171737254803288,0.3400387312125703,0.5831284002795356,0.3907810800414155,2.049213788136318,20.320616162153605,14.777090775026588,1.3751432180748069,-3.1810361898178305,-4.201065778595379,-11.451374580379204,-0.6387627191676125,1.9975642399209592
Italy,Southern Europe,0.5588707527234645,0.19079564699540189,0.24446718339786316,0.49443622783718344,0.4023236885042796,2.3336659701222695,20.920831802222537,16.828304630162513,1.243193076308157,-3.1301300471039317,-5.207631927581211,-12.829183317962912,-1.2536864999074324,4.003010726151493
Hong Kong,Asia Developed,0.36606400369055037,0.4102067168329273,0.05522747508593583,0.23500526608128558,0.5487589695500691,3.216007304706463,28.535466416603594,23.190958478771787,1.2304565351502823,-4.664148064124922,-5.997999706048297,-16.152532063277924,0.5349361990459173,2.4734605404761423
China,Asia Emerging,0.18790942113776096,0.2946965729356183,0.02673732149718704,0.1635155084302007,0.36581876288855236,2.372614613463934,19.022575670204724,17.109167291518773,1.1118352720552596,-3.0993182575425897,-4.303856052270162,-14.279610170245771,1.4383070872605268,7.924190029459391
Japan,Asia Developed,0.8134166276559343,0.12737805296414256,0.34401956789594307,0.5865318132002245,0.4352496410555544,2.8632486740222554,22.63298133488883,20.647179817183037,1.0961778574744219,-4.165261999275089,-5.979401987722304,-18.46316113304608,-0.24710911689725729,0.8727613771237515
Finland,Northern Europe,0.44544256518631026,0.08425161824655625,0.2388586117323001,0.48873163569826344,0.2528480118838767,1.881736712624759,13.148096617961587,13.569396408583229,0.9689522084891593,-2.4242485282035906,-3.845032815441424,-13.52165049624049,-0.4899447893114512,2.0718231340724547
Sweden,Northern Europe,0.6718294350014253,-0.0011507242441061716,0.44157589678934567,0.6645117732511183,0.2531312612084146,2.087343593638487,13.16282558283756,15.052048712749666,0.8744873096037842,-2.7521277667343456,-4.681859618220011,-16.54727447668115,-1.1835343003367529,4.726959066228092
Australia,Oceania,0.38633173023295636,0.01677152070496396,0.32528134644259266,0.5703344163230838,0.16299494333117767,1.3985190773851768,8.47573705322124,10.084864486453691,0.8404413430250964,-2.483814811096589,-2.972358409822364,-10.627876124325851,-0.4189748106119051,0.07370270412107338
Switzerland,Western Europe,0.4370577505544744,-0.00922849653501323,0.22492321925232997,0.474260708105078,0.1561943128543499,1.9026516241851958,8.122104268426195,13.720215980689126,0.5919807880472043,-2.5888922444242235,-4.221780360661094,-14.046758452995089,-1.0679583626866735,5.006988252260502
France,Western Europe,0.5424409931921416,-0.12261230886384697,0.3044068434937836,0.5517307708418877,0.08269720208284506,2.029845073602479,4.300254508307943,14.637420988243427,0.29378498519389773,-3.3168633151720477,-4.755666860365608,-13.557864830315246,-0.8134665510565499,2.0741672866482768
Denmark,Northern Europe,0.6118758945777788,-0.16219175939754857,0.276877430710302,0.5261914392217931,0.0693982978666807,2.400806517206389,3.6087114890673964,17.312462000511506,0.2084458864926765,-2.7931503702769374,-5.722584625627267,-25.724388117825868,-1.0598635526014726,4.94353838164753
